曄	燁
異	异
廕	蔭
頴	穎
詠	咏
湧	涌
遊	斿
於	于
慾	欲
踰	逾
癒	愈
嶽	岳
韻	韵
災	灾
讚	贊
譟	噪
皁	皂
紮	扎
吒	咤
佔	占
蹔	暫
霑	沾
讋	懾
鍼	針
蹠	跖
梔	栀
誌	志
塚	冢
眾	衆
貲	資
眥	眦
傯	偬
騌	鬃
蹤	踪
糉	粽
爭	争
吳	吴
奐	奂
彔	录
溫	温
遙	遥
呂	吕
黃	黄
虛	虚
奧	奥
眞	真
彥	彦
兌	兑
戶	户
旣	既
絕	絶
勻	匀
袞	衮
毀	毁
別	别
內	内
丟	丢
灩	灔
淩	凌
茲	兹
荊	荆
諮	咨
揹	背
寬	寛
捱	挨
牆	墙
擺	摆
䎱	䎬
襬	䙓
憊	惫
潷	滗
籩	笾
滲	渗
慘	惨
摻	掺
驂	骖
毿	毵
瘮	瘆
磣	碜
穇	䅟
糝	糁
傖	伧
創	创
滄	沧
愴	怆
蒼	苍
搶	抢
嗆	呛
熗	炝
瑲	玱
槍	枪
戧	戗
瘡	疮
鶬	鸧
艙	舱
蹌	跄
滻	浐
薩	萨
鏟	铲
齔	龀
嚙	啮
齠	龆
齙	龅
齟	龃
齡	龄
齜	龇
齦	龈
齬	龉
齪	龊
齷	龌
齲	龋
蠱	蛊
謅	诌
㑳	㑇
鄒	邹
㥮	㤘
騶	驺
縐	绉
皺	皱
趨	趋
雛	雏
蓯	苁
縱	纵
樅	枞
慫	怂
聳	耸
澾	㳠
闥	闼
撻	挞
噠	哒
韃	鞑
滯	滞
鄲	郸
憚	惮
闡	阐
撣	掸
彈	弹
嬋	婵
禪	禅
殫	殚
癉	瘅
蟬	蝉
簞	箪
蘄	蕲
囅	冁
擋	挡
檔	档
襠	裆
鐺	铛
讜	谠
儻	傥
钂	镋
籪	簖
懟	怼
墜	坠
灃	沣
艷	艳
灧	滟
剛	刚
掆	㧏
崗	岗
綱	纲
棡	㭎
鋼	钢
鬮	阄
摑	掴
幗	帼
膕	腘
蟈	蝈
嫿	婳
擓	㧟
劊	刽
鄶	郐
儈	侩
澮	浍
薈	荟
噲	哙
獪	狯
繪	绘
燴	烩
檜	桧
膾	脍
鱠	鲙
譏	讥
嘰	叽
饑	饥
機	机
璣	玑
磯	矶
蟣	虮
郟	郏
俠	侠
陝	陕
浹	浃
挾	挟
莢	荚
峽	峡
狹	狭
愜	惬
硤	硖
鋏	铗
頰	颊
蛺	蛱
瘞	瘗
篋	箧
剗	刬
淺	浅
餞	饯
綫	线
殘	残
棧	栈
賤	贱
盞	盏
錢	钱
箋	笺
濺	溅
踐	践
濫	滥
藍	蓝
尷	尴
檻	槛
襤	褴
籃	篮
韉	鞯
蔣	蒋
鏘	锵
濜	浕
藎	荩
燼	烬
贐	赆
櫸	榉
淶	涞
萊	莱
崍	崃
徠	徕
賚	赉
睞	睐
錸	铼
灕	漓
籬	篱
儷	俪
酈	郦
邐	逦
驪	骊
鸝	鹂
釃	酾
鱺	鲡
倆	俩
啢	唡
輛	辆
滿	满
瞞	瞒
顢	颟
蟎	螨
魎	魉
懣	懑
蹣	蹒
欞	棂
僂	偻
漊	溇
蔞	蒌
摟	搂
嶁	嵝
嘍	喽
縷	缕
屢	屡
數	数
樓	楼
瘻	瘘
褸	褛
窶	窭
瞜	䁖
鏤	镂
屨	屦
螻	蝼
簍	篓
耬	耧
藪	薮
擻	擞
髏	髅
瀘	泸
壚	垆
櫨	栌
轤	轳
臚	胪
鸕	鸬
顱	颅
艫	舻
鱸	鲈
擄	掳
鹺	鹾
籙	箓
濾	滤
攄	摅
論	论
倫	伦
淪	沦
掄	抡
圇	囵
綸	纶
輪	轮
癟	瘪
蘿	萝
囉	啰
邏	逻
玀	猡
欏	椤
鑼	锣
籮	箩
馮	冯
馭	驭
闖	闯
嗎	吗
獁	犸
馱	驮
馳	驰
馴	驯
媽	妈
瑪	玛
驅	驱
駁	驳
碼	码
駝	驼
駐	驻
駔	驵
駕	驾
驛	驿
駟	驷
駛	驶
駒	驹
駘	骀
駙	驸
駑	驽
駡	骂
螞	蚂
篤	笃
駭	骇
駢	骈
驍	骁
